# threads 18 processes 7 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.663292	3.04212
0.596263	2.30027
0.494519	2.18374
0.487596	2.17736
0.488559	2.17825
0.490928	2.1799
0.496462	2.18417
0.489922	2.17909
0.49428	2.18394
0.494608	2.1983
0.492585	2.18047
0.492761	2.18209
0.491687	2.18218
0.491431	2.18251
0.493081	2.18136
0.489376	2.1804
0.487846	2.17676
0.490616	2.18089
0.489315	2.1888
0.492931	2.18169
0.490755	2.17807
0.489783	2.1784
0.486669	2.17439
0.485036	2.17324
0.491321	2.18002
0.48997	2.17799
0.491159	2.18077
0.492915	2.18223
0.493484	2.18251
0.491232	2.17994
