# threads 18 processes 1 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
37.1191	7.84e-07
37.12	8.4e-07
37.2627	7.47e-07
37.2667	9.87e-07
37.2678	1.348e-06
37.2639	1.317e-06
37.1266	9.03e-07
37.1201	8.85e-07
37.1191	8.69e-07
37.2712	2.29e-06
37.2608	7.27e-07
37.2694	9.02e-07
37.266	9.74e-07
37.2857	7.43e-07
37.2716	7.01e-07
37.2665	8.04e-07
37.2793	7.28e-07
37.2769	1.048e-06
37.2752	7.97e-07
37.2699	7.85e-07
37.2753	8.14e-07
37.2942	1.763e-06
37.2758	8.05e-07
37.278	7.26e-07
37.2811	7.28e-07
37.1412	8.6e-07
37.1224	9.51e-07
37.1235	7.45e-07
37.2704	7.4e-07
37.2707	1.152e-06
