# threads 1 processes 28 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.23891	0.168086
0.155425	0.0859881
0.144936	0.0743688
0.145294	0.0748344
0.14496	0.0744189
0.145051	0.0747447
0.145132	0.0746115
0.144999	0.0744546
0.144964	0.0746821
0.144994	0.0744869
0.145097	0.0746377
0.144758	0.0740923
0.144953	0.0745497
0.196537	0.126177
0.144972	0.0744806
0.146159	0.0756399
0.145218	0.0747595
0.144769	0.0742306
0.144846	0.0742995
0.144914	0.0744579
0.144821	0.0744118
0.145029	0.0746292
0.148737	0.0783559
0.144934	0.0742495
0.145169	0.0748533
0.144882	0.0745922
0.144784	0.0740045
0.144819	0.0743962
0.145056	0.0746612
0.147887	0.0764403
0.147892	0.0768376
0.145005	0.0748251
0.145064	0.0744152
0.146046	0.0755908
0.144873	0.0744623
0.144834	0.0745078
0.144868	0.0745914
0.148211	0.0778828
0.144942	0.0745379
0.147805	0.0773845
0.145034	0.0746259
0.145192	0.0747128
0.145115	0.0749029
0.147805	0.0775363
0.144841	0.0743222
0.145159	0.0747106
0.145243	0.0748198
0.144848	0.0743872
0.144842	0.0744442
0.145099	0.074609
