# threads 4 processes 6 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.63185	0.717403
1.61422	0.707446
1.62325	0.72217
1.59298	0.687348
1.59933	0.699777
1.58305	0.684699
1.58331	0.683542
1.62126	0.719142
1.61117	0.706195
1.60359	0.695078
1.60728	0.703609
1.59438	0.688867
1.62512	0.720375
1.63535	0.727252
1.58841	0.68371
1.61989	0.708257
1.63122	0.720474
1.62005	0.715957
1.60453	0.705013
1.6271	0.725229
1.59787	0.693496
1.62343	0.718179
1.63269	0.721436
1.61474	0.713758
1.58339	0.677845
1.59344	0.691783
1.60819	0.702923
1.59032	0.687862
1.58642	0.683381
1.60093	0.69604
